"Gene One","Gene Two","Pearson's r-value","P-Value"
"LOC_Os01g08420","LOC_Os02g43180","0.715825","0.0"
"LOC_Os01g08420","LOC_Os02g43720","0.72472","0.0"
"LOC_Os01g08420","LOC_Os02g43750","0.877322","0.0"
"LOC_Os01g08420","LOC_Os02g44102","0.741536","0.0"
"LOC_Os01g08420","LOC_Os02g44111","0.720875","0.0"
"LOC_Os01g08420","LOC_Os02g44510","0.787832","0.0"
"LOC_Os01g08420","LOC_Os02g44520","0.782214","0.0"
"LOC_Os01g08420","LOC_Os02g44690","0.784663","0.0"
"LOC_Os01g08420","LOC_Os02g44970","0.701091","2.59E-43"
"LOC_Os01g08420","LOC_Os02g45480","0.735347","0.0"
"LOC_Os01g08420","LOC_Os02g46350","0.757416","0.0"
"LOC_Os01g08420","LOC_Os02g46450","0.804591","0.0"
"LOC_Os01g08420","LOC_Os02g46710","0.81195","0.0"
"LOC_Os01g08420","LOC_Os02g46720","0.796896","0.0"
"LOC_Os01g08420","LOC_Os02g46920","0.774052","0.0"
"LOC_Os01g08420","LOC_Os02g47170","0.803209","0.0"
"LOC_Os01g08420","LOC_Os02g47850","0.746875","0.0"
"LOC_Os01g08420","LOC_Os02g47970","0.874044","0.0"
"LOC_Os01g08420","LOC_Os02g48000","0.729807","0.0"
"LOC_Os01g08420","LOC_Os02g48100","0.754928","0.0"
"LOC_Os01g08420","LOC_Os02g48116","0.739241","0.0"
"LOC_Os01g08420","LOC_Os02g48620","0.761467","0.0"
"LOC_Os01g08420","LOC_Os02g49992","0.79653","0.0"
"LOC_Os01g08420","LOC_Os02g50230","0.707721","1.8E-44"
